リーグ名,チーム名,選手名,年度,日付,ストライクカウント,ボールカウント,結果
パリーグ,楽天,銀次,2014,10/07,1,1,二併打
パリーグ,楽天,銀次,2014,10/07,1,1,左安
パリーグ,楽天,銀次,2014,10/07,0,1,左安
パリーグ,楽天,銀次,2014,10/07,2,1,左飛
パリーグ,楽天,銀次,2014,10/05,1,0,二ゴロ
パリーグ,楽天,銀次,2014,10/05,0,0,中安
パリーグ,楽天,銀次,2014,10/05,2,2,右飛
パリーグ,楽天,銀次,2014,10/05,1,0,左飛
パリーグ,楽天,銀次,2014,10/04,0,3,四球
パリーグ,楽天,銀次,2014,10/04,0,3,四球
パリーグ,楽天,銀次,2014,10/04,0,3,四球
パリーグ,楽天,銀次,2014,10/04,0,3,四球
パリーグ,楽天,銀次,2014,10/04,0,3,四球
パリーグ,楽天,銀次,2014,10/03,2,2,空三振
パリーグ,楽天,銀次,2014,10/03,2,2,左ゴロ
パリーグ,楽天,銀次,2014,10/03,2,2,空三振
パリーグ,楽天,銀次,2014,10/03,0,0,投ゴロ
パリーグ,楽天,銀次,2014,09/30,1,2,左安
パリーグ,楽天,銀次,2014,09/30,1,2,中２
パリーグ,楽天,銀次,2014,09/30,2,0,暴振逃
パリーグ,楽天,銀次,2014,09/30,2,1,中２
パリーグ,楽天,銀次,2014,09/29,1,1,中飛
パリーグ,楽天,銀次,2014,09/29,1,0,右飛
パリーグ,楽天,銀次,2014,09/29,2,3,見三振
パリーグ,楽天,銀次,2014,09/29,2,2,遊直
パリーグ,楽天,銀次,2014,09/21,1,3,四球
パリーグ,楽天,銀次,2014,09/21,0,1,中２(2)
パリーグ,楽天,銀次,2014,09/21,2,2,遊安
パリーグ,楽天,銀次,2014,09/21,1,1,右安
パリーグ,楽天,銀次,2014,09/21,2,1,左安
パリーグ,楽天,銀次,2014,09/20,2,3,中飛
パリーグ,楽天,銀次,2014,09/20,2,3,四球
パリーグ,楽天,銀次,2014,09/20,2,2,遊安
パリーグ,楽天,銀次,2014,09/20,0,0,中安
パリーグ,楽天,銀次,2014,09/19,0,0,左安
パリーグ,楽天,銀次,2014,09/19,1,2,遊ゴロ
パリーグ,楽天,銀次,2014,09/19,2,1,中安
パリーグ,楽天,銀次,2014,09/18,0,0,左飛
パリーグ,楽天,銀次,2014,09/18,1,2,右安(2)
パリーグ,楽天,銀次,2014,09/18,2,1,二併打
パリーグ,楽天,銀次,2014,09/18,2,2,遊安(1)
パリーグ,楽天,銀次,2014,09/18,0,0,左２(2)
パリーグ,楽天,銀次,2014,09/17,1,2,二併打
パリーグ,楽天,銀次,2014,09/17,2,3,空三振
パリーグ,楽天,銀次,2014,09/17,0,1,中安(1)
パリーグ,楽天,銀次,2014,09/17,2,3,右安
パリーグ,楽天,銀次,2014,09/16,0,2,二併打
パリーグ,楽天,銀次,2014,09/16,1,1,右安
パリーグ,楽天,銀次,2014,09/16,2,3,三ゴロ
パリーグ,楽天,銀次,2014,09/16,1,0,中飛
パリーグ,楽天,銀次,2014,09/15,0,0,二飛
パリーグ,楽天,銀次,2014,09/15,1,1,左安
パリーグ,楽天,銀次,2014,09/15,0,1,左飛
パリーグ,楽天,銀次,2014,09/15,1,0,右安
パリーグ,楽天,銀次,2014,09/14,2,2,左飛
パリーグ,楽天,銀次,2014,09/14,1,1,左飛
パリーグ,楽天,銀次,2014,09/14,1,3,左飛
パリーグ,楽天,銀次,2014,09/14,1,1,投直
パリーグ,楽天,銀次,2014,09/13,1,2,中飛
パリーグ,楽天,銀次,2014,09/13,1,3,右安
パリーグ,楽天,銀次,2014,09/13,2,3,中安
パリーグ,楽天,銀次,2014,09/13,2,2,左安(1)
パリーグ,楽天,銀次,2014,09/13,0,0,中２(1)
パリーグ,楽天,銀次,2014,09/10,0,1,左安
パリーグ,楽天,銀次,2014,09/10,0,1,一ゴロ
パリーグ,楽天,銀次,2014,09/10,1,0,遊ゴロ
パリーグ,楽天,銀次,2014,09/09,2,2,中飛
パリーグ,楽天,銀次,2014,09/09,0,0,右２
パリーグ,楽天,銀次,2014,09/09,0,1,二ゴロ(1)
パリーグ,楽天,銀次,2014,09/09,2,1,投安(1)
パリーグ,楽天,銀次,2014,09/09,0,0,一犠打
パリーグ,楽天,銀次,2014,09/08,2,2,左飛
パリーグ,楽天,銀次,2014,09/08,0,1,右安
パリーグ,楽天,銀次,2014,09/08,2,3,左飛
パリーグ,楽天,銀次,2014,09/08,2,1,左安
パリーグ,楽天,銀次,2014,09/07,0,1,一ゴロ
パリーグ,楽天,銀次,2014,09/07,2,2,左安
パリーグ,楽天,銀次,2014,09/07,2,2,遊ゴロ
パリーグ,楽天,銀次,2014,09/07,2,2,遊ゴロ
パリーグ,楽天,銀次,2014,09/06,0,2,二ゴロ
パリーグ,楽天,銀次,2014,09/06,2,2,遊ゴロ
パリーグ,楽天,銀次,2014,09/06,0,0,右飛
パリーグ,楽天,銀次,2014,09/06,2,1,左安
パリーグ,楽天,銀次,2014,09/05,2,1,空三振
パリーグ,楽天,銀次,2014,09/05,0,0,左犠飛(1)
パリーグ,楽天,銀次,2014,09/05,0,1,二ゴロ
パリーグ,楽天,銀次,2014,09/05,2,2,三直
パリーグ,楽天,銀次,2014,09/03,2,1,見三振
パリーグ,楽天,銀次,2014,09/03,1,1,中２(2)
パリーグ,楽天,銀次,2014,09/03,2,1,中安
パリーグ,楽天,銀次,2014,09/03,1,3,遊飛
パリーグ,楽天,銀次,2014,09/02,0,2,左飛
パリーグ,楽天,銀次,2014,09/02,0,1,中飛
パリーグ,楽天,銀次,2014,09/02,0,2,右２
パリーグ,楽天,銀次,2014,09/02,1,3,中２(1)
パリーグ,楽天,銀次,2014,09/02,2,3,四球
パリーグ,楽天,銀次,2014,08/31,1,3,四球
パリーグ,楽天,銀次,2014,08/31,0,0,三ゴロ
パリーグ,楽天,銀次,2014,08/31,2,2,左安
パリーグ,楽天,銀次,2014,08/31,1,0,左安
パリーグ,楽天,銀次,2014,08/31,1,2,二ゴロ
パリーグ,楽天,銀次,2014,08/30,1,3,中安
パリーグ,楽天,銀次,2014,08/30,2,1,見三振
パリーグ,楽天,銀次,2014,08/30,1,1,三直
パリーグ,楽天,銀次,2014,08/30,1,1,中２(2)
パリーグ,楽天,銀次,2014,08/30,2,3,遊ゴロ
パリーグ,楽天,銀次,2014,08/29,2,2,空三振
パリーグ,楽天,銀次,2014,08/29,2,2,空三振
パリーグ,楽天,銀次,2014,08/29,1,1,二ゴロ
パリーグ,楽天,銀次,2014,08/29,0,1,二併打
パリーグ,楽天,銀次,2014,08/29,0,1,中安
パリーグ,楽天,銀次,2014,08/28,1,1,中２(2)
パリーグ,楽天,銀次,2014,08/28,1,0,二ゴロ
パリーグ,楽天,銀次,2014,08/28,2,1,中安
パリーグ,楽天,銀次,2014,08/28,0,0,右安(2)
パリーグ,楽天,銀次,2014,08/28,1,0,二ゴロ
パリーグ,楽天,銀次,2014,08/26,0,1,中飛
パリーグ,楽天,銀次,2014,08/26,2,3,二ゴロ
パリーグ,楽天,銀次,2014,08/26,2,3,見三振
パリーグ,楽天,銀次,2014,08/26,1,0,遊失
パリーグ,楽天,銀次,2014,08/24,2,2,右２
パリーグ,楽天,銀次,2014,08/24,1,0,二ゴロ
パリーグ,楽天,銀次,2014,08/24,0,2,左飛
パリーグ,楽天,銀次,2014,08/24,1,1,一ゴロ
パリーグ,楽天,銀次,2014,08/24,1,0,中飛
パリーグ,楽天,銀次,2014,08/23,0,1,遊飛
パリーグ,楽天,銀次,2014,08/23,0,3,四球
パリーグ,楽天,銀次,2014,08/23,2,3,一ゴロ
パリーグ,楽天,銀次,2014,08/23,0,0,一ゴロ
パリーグ,楽天,銀次,2014,08/22,1,1,左飛
パリーグ,楽天,銀次,2014,08/22,1,0,右安
パリーグ,楽天,銀次,2014,08/22,2,2,右安
パリーグ,楽天,銀次,2014,08/22,0,1,二ゴロ
パリーグ,楽天,銀次,2014,08/21,2,3,四球
パリーグ,楽天,銀次,2014,08/21,2,0,投ゴロ
パリーグ,楽天,銀次,2014,08/21,0,0,右飛
パリーグ,楽天,銀次,2014,08/21,0,1,一ゴロ
パリーグ,楽天,銀次,2014,08/21,2,0,二ゴロ
パリーグ,楽天,銀次,2014,08/20,2,3,二ゴロ
パリーグ,楽天,銀次,2014,08/20,1,1,右２
パリーグ,楽天,銀次,2014,08/20,0,0,左飛
パリーグ,楽天,銀次,2014,08/20,0,1,中安
パリーグ,楽天,銀次,2014,08/17,0,0,投安
パリーグ,楽天,銀次,2014,08/17,2,3,二直
パリーグ,楽天,銀次,2014,08/17,0,0,右本(2)
パリーグ,楽天,銀次,2014,08/17,0,2,中安
パリーグ,楽天,銀次,2014,08/16,2,1,右安(2)
パリーグ,楽天,銀次,2014,08/16,1,0,左安
パリーグ,楽天,銀次,2014,08/16,2,0,左安(1)
パリーグ,楽天,銀次,2014,08/16,2,1,二ゴロ
パリーグ,楽天,銀次,2014,08/15,2,1,見三振
パリーグ,楽天,銀次,2014,08/15,1,2,二ゴロ
パリーグ,楽天,銀次,2014,08/15,1,0,三邪飛
パリーグ,楽天,銀次,2014,08/15,0,0,中飛
パリーグ,楽天,銀次,2014,08/14,2,3,空三振
パリーグ,楽天,銀次,2014,08/14,2,1,中安
パリーグ,楽天,銀次,2014,08/14,2,1,遊ゴロ
パリーグ,楽天,銀次,2014,08/14,2,3,遊ゴロ
パリーグ,楽天,銀次,2014,08/13,2,0,二ゴロ
パリーグ,楽天,銀次,2014,08/13,1,2,左飛
パリーグ,楽天,銀次,2014,08/13,0,1,右２(2)
パリーグ,楽天,銀次,2014,08/13,0,1,三ゴロ
パリーグ,楽天,銀次,2014,08/13,0,1,一ゴロ
パリーグ,楽天,銀次,2014,08/12,0,1,三邪飛
パリーグ,楽天,銀次,2014,08/12,2,3,空三振
パリーグ,楽天,銀次,2014,08/12,1,3,遊安
パリーグ,楽天,銀次,2014,08/12,1,2,遊ゴロ
パリーグ,楽天,銀次,2014,08/07,1,1,遊ゴロ
パリーグ,楽天,銀次,2014,08/07,2,3,四球
パリーグ,楽天,銀次,2014,08/07,2,1,左安
パリーグ,楽天,銀次,2014,08/07,2,2,左飛
パリーグ,楽天,銀次,2014,08/06,1,3,右安(1)
パリーグ,楽天,銀次,2014,08/06,2,1,中安(1)
パリーグ,楽天,銀次,2014,08/06,2,3,四球
パリーグ,楽天,銀次,2014,08/06,2,3,四球
パリーグ,楽天,銀次,2014,08/06,1,2,左安
パリーグ,楽天,銀次,2014,08/05,1,2,遊飛
パリーグ,楽天,銀次,2014,08/05,0,0,右２
